id,Location,Latitude,Longitude,Shape*
1,Ayat Train Station,9.021364028,38.87216859,Point
2,Abrehot Library,9.030277740,38.76304143,Point
3,Addis Ababa Institute of Technology,9.040566171,38.76329892,Point
4,Chanoly Smoothie & Noodle,8.991705345,38.79250658,Point
5,Monarch Parkview Hotel,9.026910021,38.75454666,Point
6,National Lottery of Ethiopia,9.030605715,38.75528775,Point
7,Torhailoch Square,9.012345596,38.72252045,Point
8,Bole Bulbula Maryam mazorya,8.952447273,38.78707117,Point
9,Alem Cinema,8.990288749,38.78554632,Point
10,Goro Square,8.991232158,38.83044698,Point
11,Sarbet,8.995036009,38.73826151,Point
12,Century Mall,9.019430263,38.81408978,Point
13,Chillies Addis (Indian Restaurant),9.004531370,38.78923498,Point
14,Saris Adey Abeba,8.957514773,38.76415041,Point
15,St.Paulos Hospital,9.047848686,38.72770084,Point
16,Efoy Pizza Atlas,9.002497669,38.77960003,Point
17,Nega City Mall,9.017040136,38.76675005,Point
18,Wabi Shebele Hotel,9.012495414,38.74720688,Point
19,The CANTEEN,8.991230252,38.76554665,Point
20,Lamberet Menaharia,9.024493142,38.82110203,Point
21,Merkato,9.033763204,38.74011576,Point
22,Summit Condominium,8.990071064,38.85808359,Point
23,GAST Entertainment,9.021326439,38.84163562,Point
24,Shiro Meda,9.065137831,38.76110997,Point
25,Bole Arabsa,8.974305254,38.88899713,Point